filename,filepath,label
12861.jpg,D:\coderecet drone\test-org-img\12861.jpg,low
12866.jpg,D:\coderecet drone\test-org-img\12866.jpg,low
12879.jpg,D:\coderecet drone\test-org-img\12879.jpg,medium
12899.jpg,D:\coderecet drone\test-org-img\12899.jpg,medium
12948.jpg,D:\coderecet drone\test-org-img\12948.jpg,low
12952.jpg,D:\coderecet drone\test-org-img\12952.jpg,severe
12963.jpg,D:\coderecet drone\test-org-img\12963.jpg,no_damage
12968.jpg,D:\coderecet drone\test-org-img\12968.jpg,no_damage
12981.jpg,D:\coderecet drone\test-org-img\12981.jpg,high
13008.jpg,D:\coderecet drone\test-org-img\13008.jpg,low
13017.jpg,D:\coderecet drone\test-org-img\13017.jpg,medium
